NAME,NAME_EN,AMENITY,SHOP,OSM_TYPE,OSM_ID,longitude,latitude
Дон Вито,,restaurant,,node,2558459879,23.2826317,42.6930733
Папийон,,fast_food,,node,2560752165,23.3603445,42.6925037
Аристо,,restaurant,,node,2562843612,23.3591681,42.6910293
,,cafe,,node,2562855908,23.3597126,42.6908697
,,fast_food,,node,2562898041,23.3590721,42.6908375
,,cafe,,node,2564486065,23.3583433,42.6883593
,,restaurant,,node,2566468583,23.3609904,42.6902527
При Гюро,,cafe,,node,2567742294,23.360749,42.6888365
,,restaurant,,node,2575868082,23.3639628,42.6905217
Механа При Ловците,,restaurant,,node,2575873006,23.3643893,42.6900898
Кафене Джой,,cafe,,node,2575894403,23.3646441,42.6899677
Inbet,,cafe,,node,2575908902,23.3649498,42.6889424
Green Spot caffe,,fast_food,,node,2578310129,23.3621924,42.6861123
О!Шипка,,restaurant,,node,2586978570,23.327547,42.6990584
При шопите,,restaurant,,node,2588726867,23.3256489,42.6989035
БДС,,restaurant,,node,2590612476,23.3263426,42.6925447
Raffy,,restaurant,,node,2590712888,23.3201019,42.6931943
Wake & Bake Café & Eatery,,fast_food,,node,2610748190,23.3112185,42.6877662
Villa Victoria Ловен парк,Villa Victoria Loven Park,restaurant,,node,2617238760,23.3401402,42.6625452
Джорджо,,restaurant,,node,2619682918,23.3681934,42.6434295
Momo,,cafe,,node,2620866380,23.3203458,42.6851953
Мамин Кольо,,restaurant,,node,2624509550,23.3156244,42.6967461
Абди Сити,,cafe,,node,2626019498,23.423489,42.664393
Гофрети,,restaurant,,node,2637252993,23.2435578,42.720312
Vogue bar and dinner,,restaurant,,node,2637275057,23.2640562,42.7143067
Don Vito,,restaurant,,node,2640131173,23.3810913,42.6553075
,,restaurant,,node,2640142513,23.3730147,42.6609865
Pizza Calabria,,restaurant,,node,2641611722,23.3009567,42.6956231
Beso Bar & Dinner,,restaurant,,node,2642690025,23.2795162,42.6680573
Класико,Classico,restaurant,,node,2644451253,23.3416997,42.6442626
Hesburger,,fast_food,,node,2644477357,23.3441706,42.653539
Domino's,,fast_food,,node,2651679055,23.2489711,42.7130185
Happy Bar & Grill,,restaurant,,node,2661398657,23.3263118,42.6920116
Yops,,fast_food,,node,2686961069,23.3139174,42.6571602
Mezeto,,pub,,node,2691118636,23.3132373,42.6933938
Spaghetti Kitchen,,restaurant,,node,2691126894,23.3206111,42.6960912
Александрия,,restaurant,,node,2692375469,23.4022902,42.6856331
Ventana,,restaurant,,node,2695154298,23.3675498,42.6662715
My Choice,,restaurant,,node,2697765505,23.337694,42.6149969
При молива,,restaurant,,node,2701411855,23.3654071,42.6630126
Costa,,cafe,,node,2702467224,23.4653209,42.6303821
